post_raw_id,post_id,channel_id,author_username,mm_post_id,raw_content,posted_at,board_name,channel_name
1,,e607a2ed6f30f99ed6fecd680c758691,wodus7792,eekmdcahqbfs7ks9d8w5qqs1na,"""@all 
 [리마인드][SW 역량테스트 B형 특강 신청 안내]
 ---------
 여러분의 SW 역량 향상을 위해 B형 특강을 실시합니다 :slightly_smiling_face: 
 _______
 본 특강은 교육생 여러분의 **알고리즘 실력 향상을 목적으로 개설된 특강**이므로,
 ``실제 시험 응시 여부와 관련 없이, 8회차까지 수강``하시는 것이 원칙입니다.
 특강 참여를 희망하는 교육생은 첨부된 공지문 참고하여 기한 내 신청하시기 바랍니다. 
 :round_pushpin: **접수기간 : 1/19 월 9시 - 1/21 수 17시까지**
 _______
 ※ 본 특강은 B형 특강 수강이력이 없는 A/A+등급 교육생만 신청 가능하게 세팅돼 있습니다. (우선선발)
 ※ 에듀싸피 설문 제출 후 취소 및 변경 불가합니다. 
 ※ B형 수준의 코딩테스트 응시를 목표로 하거나, 알고리즘 실력 향상을 목적으로 수강하실 수 있습니다.
 ※ 관련 문의는 반담당프로님에게 MM 주세요!""",2026-01-10,14기 공지 전용,1. 공지사항
2,,e607a2ed6f30f99ed6fecd680c758691,wodus7792,mc1pfrjrzjn5pknj6wja76d5se,"""@all 
 ### [싸피티비]국민 멘토 김경일 교수님 SSAFY LIVE｜AI 시대 심리 전략 
 
 “팀플하다 썸인 줄 알았는데 ? …내 착각이었다 ??”
 
 “회의할 땐 최고의 팀이라 생각했는데 ?? …단톡방이 조용하다 ???♂?” 
  
 
 AI 기술은 계속 발전하는데 
 연애도, 팀플도, 취업 준비도 왜 사람은 점점 더 어려워질까요?
 
  
 ?? 유튜브 누적 조회수 1억 뷰 돌파?? 어쩌다 어른, 라디오스타 등 다수 방송 출연?? 청년·기업이 가장 많이 찾는 인지심리학자 
  
 
 ? SSAFY 8년차 자문위원, 
 누구보다 SSAFY를 잘 아는 국민 멘토 김경일 교수님에게 배우는 〈AI 시대 심리 전략〉 
  
 
 ?? 1/26(월) 오후 4시?? HELLOSSAFY 유튜브 채널
 
 ?? 지금 알림 설정하고 라이브를 놓치지 마세요!?? [https://www.youtube.com/watch?v=gEuMVrydl2k](https://www.youtube.com/watch?v=gEuMVrydl2k)""",2026-01-21,14기 공지 전용,1. 공지사항
3,,e607a2ed6f30f99ed6fecd680c758691,wodus7792,zak9yurgk7dmfk947kggcmu8se,"""@all 
 ## :cat_clap: [공지] 채용박람회 합격자 발표 :cat_clap: 
 #### 안녕하세요. SSAFY 취업지원센터입니다. 
 #### 25년(하) 채용박람회 합격자가 발표되었습니다. 
 #### 서류합격기업은 면접/상담 신청버튼이 활성화됩니다. 별도의 합격/불합격 표시는 없습니다.
 #### 원하시는 기업과 면접/상담을 위해서는 시간 스케쥴이 필수이니, 꼭 신청바랍니다!!(선착순) :hamster_dance_2: :hamster_dance_2: :hamster_dance_2: 
 #### :jinggaeng_star2: 면접/상담신청
 #### :pink_check: 면접 및 상담 시간 스케쥴링 : 12.8(월) 14시 ~ 12.9(화) 13시 
 #### (※ 12.9(화) 13시까지로 변경되었습니다. 착오없으시길 바랍니다!)
 #### :pink_check: 신청 경로 : 채용박람회 홈페이지( https://ssafy-jobfair.kr ) > 마이페이지 > 면접/상담 신청현황 
 
 
 #### :jinggaeng_star2: 셔틀버스 탑승신청 (채용박람회 홈페이지 참고)
 #### :pink_check: 셔틀버스 신청기간 : 12.8(월) ~ 12.10(수) 까지 
 #### :white_check_mark: 1일차 셔틀버스 신청 : https://forms.gle/juypeBoxRixC8Ae66
 #### :white_check_mark: 2일차 셔틀버스 신청 : https://forms.gle/tXAz6ZGsfeRKGGTCA
 #### ※ 3일차 ★면접 참여 재학생★의 경우 교통비가 지급됩니다.(대전 3만원, 구미 5만원, 부울경/광주 7만원-통합 1회 지급)
 #### ※ 셔틀버스 탑승자는 셔틀버스의 운행 시간을 고려하여 면접, 상담 시간을 선택하세요. 
 #### 감사합니다.""",2025-12-03,14기 공지 전용,5. [취업] 공지사항
4,,e607a2ed6f30f99ed6fecd680c758691,wodus7792,ob47wku74tn4xpcmtcq6fz7d6y,"""@all 
 
 ## :kirby_bounce_rainbow: D-2 ['25년 하반기 SSAFY 온/오프라인 채용박람회 안내] D-2 :kirby_bounce_rainbow:
 
 ##### SSAFY 교육생만을 위한 특별한 기회!
 ##### '25년 하반기 SSAFY 채용박람회 홈페이지가 오픈되어 채용면접과 채용상담 진행중입니다!! 
 ##### 우수기업들의 채용면접 외에도 여러분의 취업 활동에 도움을 드리기 위한 다양한 프로그램이 준비되어있으니 적극적인 참여를 바랍니다.
 
 
 
 #### :blob_twinkling-eyes: 주요 프로그램 
 ##### :two_hearts: 채용면접/상담 : 대기업, IT기업 등 다양한 기업이 참여한 SSAFY 학생들만을 위한 특별채용전형
 ##### :go11: :go11: :go11: 서류지원 : 12.3(수) 17:30 까지 마감!! :go11: :go11: :go11: 
 ##### ※ 면접,상담 기업 3개 이상 지원 필수(단, 면접지원은 2건으로 인정) 
 
 
 ##### :two_hearts: 역량강화 프로그램
 ##### - 내용
 ##### ① 취업컨설팅 : IT포트폴리오, 영문자소서 (선착순마감) - 취업컨설팅 참여신청: 12.9(화) 예정 
 ##### ② 취업지원프로그램 : 취업에 도움이 되는 정보를 제공하는 다양한 포맷의 프로그램
 ##### ※ 오프닝세리머니, 취업컨설팅(2가지), 채용설명회(3가지) 중 2개 이상 참여 필수 :pink_check: 
  
 #### :blob_twinkling-eyes: '25년(하) 채용박람회 출석기준(12/15~12/17)
 ##### ① 채용면접 또는 채용상담 3개 이상 지원 (채용면접 2건인정 / 미충족 시 사유결석 1일 (※ 합격 후 당일 노쇼 시 해당일자 결석) :9_seoul_11_slamjs_11: :9_seoul_11_slamjs_12: 
 ##### ② 오프닝세리머니,컨설팅(2가지), 채용설명회 프로그램(3가지) 중 2개 이상 참여 / 미충족 시 사유결석 1일 :breeze_8: 
 
 
 #### :blob_twinkling-eyes: 홈페이지 주소
 ##### - https://ssafy-jobfair.kr/
 ##### ※ 로그인 계정은 개별 문자로 발송되었습니다.
  
 ##### - 박람회 관련 자세한 내용은 홈페이지에서 확인해주세요. 
 ##### - 채용박람회의 여러 프로그램에 적극적으로 참여하셔서 자신과 잘 맞는 기업에 취업 성공하시기를 기원합니다.
 ##### - 홈페이지가 오픈된 이후에 Job Fair와 채용박람회의 모든 공지사항은 채용박람회 홈페이지 공지사항 채널에서 안내해드리겠습니다. 
 ##### - SSAFY 취업지원센터 (문의 조정오 MM)""",2025-12-04,14기 공지 전용,5. [취업] 공지사항
5,,e607a2ed6f30f99ed6fecd680c758691,wodus7792,185b4717b7dejd9nftjszkm43h,"""# :cherry_blossom: SSAFY 주간 채용 알림 안내- 현대오토에버 면접 편 (주간채용알림 마지막회) :cherry_blossom: 
 ##### :shake_heart: 한주간의 IT 채용 소식을 전하는 채용알림요정 SSAFY취업지원센터입니다.:shake_heart: 
 
 ##### 매주 월요일, 오후7시에는 SSAFY교육생에게 추천하는 IT 채용공고부터 그주의 핫한 기업 면접 합격 전략까지 한 번에 알려드립니다. :bab: 
 
 ##### :pushpin: 11월 3주차 주간 채용 알림
 #### :zzzzzzz: 일시 : 11.17(월), 19:00~20:00
 #### :zzzzzzz: 주제 : 주요 IT채용정보 안내 및 """" 현대오토에버"""" 면접 합격 전략
 ##### :pink_check: 내용 : 금주 지원해야 할 핵심 IT 기업 리스트 및 현대오토에버 면접 합격 비결 집중 분석 (현대오토에버에 재직중인 SSAFY 선배님이 멘토로 참여예정 많관부! ) 
 #### :webex3: 진행방법 : [https://ssafyclass.webex.com/meet/ssafy56](https://ssafyclass.webex.com/meet/ssafy56) 미팅번호 1563 90 5344
 ##### *기수_지역반이름 필수 기재!!!
 
 ##### 취뽀 충전 100%!! :shinchan_punch: 오직 SSAFY만을 위한 특별한 기회 놓치지 마세요! 다가오는 월요일 19시, '주간채용알림'에서 만나요! :yang-pa: 
 
 ##### 취뽀 드가자 :alien-nongdam2: 
 @all""",2025-11-01,14기 공지 전용,6. [취업] 취업정보
6,,e607a2ed6f30f99ed6fecd680c758691,wodus7792,yr7qxm64bt8p8cbnmm7wbepk6y,"""@all
 
 #### :ai: [AI 실습특강 I] 안내 :ai: 
 
 ##### 잠시후, 11시에 [AI 실습특강 I]이 시작됩니다.
 
 AI실습특강 잊지 않으셨죠??
 긴 시간이라 생각될 수 있지만...!!
 조금만 힘내서 오늘도 힘차게 달려보아요???♀???
 
 > 접속방법 : [에듀싸피](https://edu.ssafy.com/edu/lectureroom/curriculumn/curriculumnWeeklyList.do)""",2026-01-21,14기 공지 전용,11. 라이브방송
7,,e607a2ed6f30f99ed6fecd680c758691,katie1426,stehzxetw7fc3nyq1umbpqer6c,"@here 
#### 오늘의 AI News(8/7) :gg-clover:

여러분, 안녕하세요. 
앞으로 매주 해당 채널에 연재될 오늘의 AI 뉴스를 전달드립니다.
뉴스를 보며 여러분도 관심있게 살펴보았던 AI 관련 기술, 영상 등을 채널에 함께 공유해주세요 :kitty_tap: 
한 주도 화이팅입니다 :cheer_ogu:",2026-01-21,14기 공지 전용,8. AI NEWS
8,,e607a2ed6f30f99ed6fecd680c758691,katie1426,i4ycawe693dntgkn6oii4hmjry,"| 번호 | 구분 | 기사 제목 |
| --- | --- | --- |
| 1 | 기술 | [""국가대표 AI 5개사 기술력은?""…일반인용 평가 플랫폼 출시](http://news.mt.co.kr/mtview.php?no=2025080614140261875) |
| 2 | 기술 | [박쥐, 메타버스, 그리고 로봇](https://www.khan.co.kr/article/202508062108005) |
| 3 | 시장 동향 | [""AI-휴머노이드 로봇으로 변혁 일으킬 것"" 사상 최대 매출 쓴 쿠팡...세계가 블루오션](https://isplus.com/article/view/isp202508060136) |
| 4 | 채용 | [“면접관도 AI”…오산시, 공무원 채용에 AI 바람](https://www.etnews.com/20250807000020) |",2026-01-21,14기 공지 전용,8. AI NEWS
